id,outer_fold
0,3
1,2
2,4
3,3
4,2
5,2
6,2
7,2
8,1
9,2
10,3
11,1
12,2
13,0
14,1
15,0
16,2
17,0
18,3
19,1
20,4
21,1
22,2
23,1
24,1
25,4
26,2
27,4
28,1
29,4
30,0
31,3
32,4
33,1
34,2
35,4
36,1
37,2
38,2
39,4
40,2
41,0
42,3
43,4
44,3
45,3
46,3
47,0
48,0
49,3
50,2
51,2
52,1
53,1
54,1
55,0
56,0
57,0
58,3
59,2
60,3
61,3
62,2
63,0
64,3
65,2
66,4
67,3
68,0
69,0
70,3
71,0
72,2
73,2
74,1
75,0
76,3
77,4
78,1
79,0
80,0
81,2
82,3
83,2
84,3
85,3
86,0
87,3
88,0
89,1
90,4
91,3
92,3
93,3
94,2
95,1
96,3
97,3
98,0
99,2
100,2
101,4
102,4
103,2
104,1
105,2
106,2
107,4
108,4
109,2
110,0
111,4
112,3
113,3
114,0
115,3
116,0
117,3
118,0
119,1
120,1
121,0
122,3
123,1
124,2
125,1
126,3
127,1
128,1
129,3
130,1
131,2
132,2
133,0
134,2
135,3
136,1
137,1
138,4
139,3
140,4
141,1
142,4
143,4
144,3
145,3
146,4
147,0
148,4
149,2
150,4
151,0
152,4
153,0
154,1
155,1
156,0
157,0
158,1
159,4
160,0
161,0
162,2
163,4
164,4
165,0
166,4
167,3
168,1
169,4
170,2
171,4
172,4
173,0
174,0
175,4
176,3
177,4
178,4
179,2
180,0
181,3
182,2
183,0
184,4
185,1
186,0
187,3
188,4
189,3
190,4
191,3
192,1
193,2
194,1
195,4
196,3
197,3
198,3
199,0
200,4
201,4
202,2
203,1
204,0
205,4
206,4
207,1
208,2
209,4
210,4
211,3
212,3
213,2
214,0
215,3
216,4
217,1
218,0
219,1
220,0
221,4
222,2
223,1
224,0
225,2
226,3
227,2
228,4
229,1
230,3
231,1
232,1
233,2
234,0
235,2
236,0
237,2
238,4
239,0
240,4
241,2
242,1
243,0
244,0
245,2
246,3
247,0
248,1
249,4
250,3
251,4
252,4
253,1
254,3
255,2
256,0
257,3
258,4
259,3
260,0
261,4
262,1
263,3
264,0
265,1
266,0
267,2
268,2
269,1
270,3
271,0
272,3
273,3
274,4
275,1
276,3
277,2
278,0
279,0
280,3
281,0
282,1
283,1
284,2
285,3
286,3
287,0
288,2
289,0
290,2
291,0
292,4
293,0
294,2
295,2
296,2
297,3
298,2
299,1
300,2
301,4
302,2
303,4
304,1
305,2
306,0
307,3
308,0
309,3
310,0
311,4
312,1
313,1
314,2
315,1
316,0
317,1
318,4
319,0
320,1
321,3
322,2
323,4
324,0
325,0
326,4
327,1
328,3
329,2
330,4
331,3
332,1
333,3
334,4
335,2
336,2
337,4
338,1
339,1
340,1
341,1
342,0
343,1
344,2
345,1
346,2
347,0
348,3
349,3
350,3
351,0
352,0
353,1
354,2
355,0
356,3
357,3
358,2
359,3
360,0
361,1
362,4
363,0
364,0
365,1
366,4
367,2
368,4
369,1
370,4
371,0
372,1
373,2
374,0
375,2
376,2
377,3
378,1
379,4
380,4
381,0
382,1
383,2
384,4
385,4
386,4
387,0
388,1
389,2
390,3
391,0
392,0
393,1
394,3
395,2
396,2
397,4
398,1
399,3
400,4
401,3
402,4
403,1
404,1
405,2
406,1
407,3
408,2
409,3
410,1
411,1
412,3
413,3
414,2
415,1
416,1
417,2
418,2
419,2
420,3
421,2
422,1
423,3
424,4
425,3
426,2
427,3
428,1
429,2
430,1
431,1
432,0
433,1
434,0
435,1
436,3
437,4
438,3
439,1
440,1
441,2
442,3
443,0
444,2
445,4
446,4
447,1
448,3
449,3
450,4
451,1
452,2
453,0
454,1
455,3
456,3
457,2
458,2
459,4
460,0
461,1
462,4
463,0
464,3
465,0
466,2
467,4
468,0
469,0
470,0
471,4
472,4
473,3
474,1
475,3
476,3
477,2
478,3
479,2
480,2
481,1
482,2
483,1
484,2
485,0
486,3
487,4
488,4
489,4
490,3
491,3
492,2
493,1
494,4
495,4
496,0
497,1
498,0
499,0
500,4
501,0
